                    alpha                       ri        Curve Length / nm                    Value
                      204                       87                        0         -78.565079291413
                      204                       87                        1         -79.096126451658
                      204                       89                        0         -63.209656944155
                      204                       89                        1         -63.722336953076
                      204                       91                        0         -49.478689667969
                      204                       91                        1         -49.987963567649
                      204                       93                        0         -37.143386472507
                      204                       93                        1         -37.653594396684
                      204                       95                        0         -25.957236262315
                      204                       95                        1         -26.466628800089
                      204                       97                        0         -16.961196459545
                      204                       97                        1         -17.479895034722
                      204                       99                        0         -9.3182501428484
                      204                       99                        1         -9.8307755221231
                      204                      101                        0          -2.088431919501
                      204                      101                        1         -2.5965310959871
                      204                      103                        0          4.2415338953019
                      204                      103                        1          3.7219314570878
                      204                      105                        0          9.4726187214696
                      204                      105                        1          8.9739181073605
                      204                      107                        0          14.477276850034
                      204                      107                        1          13.960063243954
                      204                      109                        0          19.057289422528
                      204                      109                        1          18.545128044714
                      204                      111                        0          23.652125970273
                      204                      111                        1          23.136147163896
                      204                      113                        0          27.773307586785
                      204                      113                        1          27.259670999506
                      204                      115                        0          31.825428759313
                      204                      115                        1          31.312010212436
                      204                      117                        0          35.691267639315
                      204                      117                        1          35.172496876308
                      204                      119                        0          39.205247138048
                      204                      119                        1          38.685525970348
                      204                      121                        0          42.848241977709
                      204                      121                        1          42.333944269907
                      204                      123                        0           46.39993580065
                      204                      123                        1          45.882297777425
                      204                      125                        0           49.71871516588
                      204                      125                        1          49.187518516901
                      204                      127                        0          52.667373384269
                      204                      127                        1          52.146108402638
                      204                      129                        0           55.78716574279
                      204                      129                        1           55.28187974596
                      204                      131                        0          58.743951232997
                      204                      131                        1          58.228439740299
                      204                      133                        0           61.44094302249
                      204                      133                        1          60.928555228865
                      204                      135                        0          64.318831839325
                      204                      135                      0.5           64.06689481463
                      204                      135                        1          63.814991747105
                      206                        1                        0          -7.832688105991
                      206                        1                      0.5         -8.0922290588003
                      206                        1                        1         -8.3517345076879
                      206                        3                        0         -8.4793649408499
                      206                        3                      0.5         -8.7432197656283
                      206                        3                        1         -9.0070050199053
                      206                        5                        0         -7.7709780317723
                      206                        5                      0.5         -8.0278297515652
                      206                        5                        1         -8.2848100685874
                      206                        7                        0         -6.9611537246347
                      206                        7                        1         -7.4849222328132
                      206                        9                        0         -5.7417270521421
                      206                        9                        1         -6.2764491433313
                      206                       11                        0         -6.3896047206716
                      206                       11                        1         -6.9028134107587
                      206                       13                        0         -4.7444924595626
                      206                       13                        1         -5.2826367570604
                      206                       15                        0          -5.313142069197
                      206                       15                        1         -5.8248209125444
                      206                       17                        0         -4.6453128675728
